code,name,region_code,old_name,status
"1400100000","Abra","1400000000","","active"
"1600200000","Agusan del Norte","1600000000","","active"
"1600300000","Agusan del Sur","1600000000","","active"
"0600400000","Aklan","0600000000","","active"
"0500500000","Albay","0500000000","","active"
"0600600000","Antique","0600000000","","active"
"1408100000","Apayao","1400000000","","active"
"0307700000","Aurora","0300000000","","active"
"1900700000","Basilan","1900000000","","active"
"0300800000","Bataan","0300000000","","active"
"0200900000","Batanes","0200000000","","active"
"0401000000","Batangas","0400000000","","active"
"1401100000","Benguet","1400000000","","active"
"0807800000","Biliran","0800000000","","active"
"0701200000","Bohol","0700000000","","active"
"1001300000","Bukidnon","1000000000","","active"
"0301400000","Bulacan","0300000000","","active"
"0201500000","Cagayan","0200000000","","active"
"0501600000","Camarines Norte","0500000000","","active"
"0501700000","Camarines Sur","0500000000","","active"
"1001800000","Camiguin","1000000000","","active"
"0601900000","Capiz","0600000000","","active"
"0502000000","Catanduanes","0500000000","","active"
"0402100000","Cavite","0400000000","","active"
"0702200000","Cebu","0700000000","","active"
"0330100000","City of Angeles","0300000000","","active"
"1830200000","City of Bacolod ","1800000000","","active"
"1430300000","City of Baguio","1400000000","","active"
"1630400000","City of Butuan ","1600000000","","active"
"1030500000","City of Cagayan De Oro ","1000000000","","active"
"1380100000","City of Caloocan","1300000000","","active"
"0730600000","City of Cebu ","0700000000","","active"
"1130700000","City of Davao","1100000000","","active"
"1230800000","City of General Santos","1200000000","Dadiangas","active"
"1030900000","City of Iligan","1000000000","","active"
"0631000000","City of Iloilo ","0600000000","","active"
"0731100000","City of Lapu-Lapu","0700000000","Opon","active"
"1380200000","City of Las Piñas","1300000000","","active"
"0431200000","City of Lucena ","0400000000","","active"
"1380300000","City of Makati","1300000000","","active"
"1380400000","City of Malabon","1300000000","","active"
"1380500000","City of Mandaluyong","1300000000","","active"
"0731300000","City of Mandaue","0700000000","","active"
"1380600000","City of Manila","1300000000","","active"
"1380700000","City of Marikina","1300000000","","active"
"1380800000","City of Muntinlupa","1300000000","","active"
"1380900000","City of Navotas","1300000000","","active"
"0331400000","City of Olongapo","0300000000","","active"
"1381000000","City of Parañaque","1300000000","","active"
"1381200000","City of Pasig","1300000000","","active"
"1731500000","City of Puerto Princesa ","1700000000","","active"
"1381400000","City of San Juan","1300000000","","active"
"0831600000","City of Tacloban ","0800000000","","active"
"1381500000","City of Taguig","1300000000","","active"
"1381600000","City of Valenzuela","1300000000","","active"
"0931700000","City of Zamboanga","0900000000","","active"
"1204700000","Cotabato","1200000000","North Cotabato","active"
"1108200000","Davao de Oro","1100000000","Compostela Valley","active"
"1102300000","Davao del Norte","1100000000","","active"
"1102400000","Davao del Sur","1100000000","","active"
"1108600000","Davao Occidental","1100000000","","active"
"1102500000","Davao Oriental","1100000000","","active"
"1608500000","Dinagat Islands","1600000000","","active"
"0802600000","Eastern Samar","0800000000","","active"
"0607900000","Guimaras","0600000000","","active"
"1402700000","Ifugao","1400000000","","active"
"0102800000","Ilocos Norte","0100000000","","active"
"0102900000","Ilocos Sur","0100000000","","active"
"0603000000","Iloilo","0600000000","","active"
"0203100000","Isabela","0200000000","","active"
"1403200000","Kalinga","1400000000","","active"
"0103300000","La Union","0100000000","","active"
"0403400000","Laguna","0400000000","","active"
"1003500000","Lanao del Norte","1000000000","","active"
"1903600000","Lanao del Sur","1900000000","","active"
"0803700000","Leyte","0800000000","","active"
"1908700000","Maguindanao del Norte","1900000000","","active"
"1908800000","Maguindanao del Sur","1900000000","","active"
"1704000000","Marinduque","1700000000","","active"
"0504100000","Masbate","0500000000","","active"
"1004200000","Misamis Occidental","1000000000","","active"
"1004300000","Misamis Oriental","1000000000","","active"
"1404400000","Mountain Province","1400000000","","active"
"1804500000","Negros Occidental","1800000000","","active"
"1804600000","Negros Oriental","1800000000","","active"
"0804800000","Northern Samar","0800000000","","active"
"0304900000","Nueva Ecija","0300000000","","active"
"0205000000","Nueva Vizcaya","0200000000","","active"
"1705100000","Occidental Mindoro","1700000000","","active"
"1705200000","Oriental Mindoro","1700000000","","active"
"1705300000","Palawan","1700000000","","active"
"0305400000","Pampanga","0300000000","","active"
"0105500000","Pangasinan","0100000000","","active"
"1381100000","Pasay City","1300000000","","active"
"0405600000","Quezon","0400000000","","active"
"1381300000","Quezon City","1300000000","","active"
"0205700000","Quirino","0200000000","","active"
"0405800000","Rizal","0400000000","","active"
"1705900000","Romblon","1700000000","","active"
"0806000000","Samar","0800000000","Western Samar","active"
"1208000000","Sarangani","1200000000","","active"
"1806100000","Siquijor","1800000000","","active"
"0506200000","Sorsogon","0500000000","","active"
"1206300000","South Cotabato","1200000000","","active"
"0806400000","Southern Leyte","0800000000","","active"
"1206500000","Sultan Kudarat","1200000000","","active"
"1906600000","Sulu","1900000000","","active"
"1606700000","Surigao del Norte","1600000000","","active"
"1606800000","Surigao del Sur","1600000000","","active"
"0306900000","Tarlac","0300000000","","active"
"1907000000","Tawi-Tawi","1900000000","","active"
"0307100000","Zambales","0300000000","","active"
"0907200000","Zamboanga del Norte","0900000000","","active"
"0907300000","Zamboanga del Sur","0900000000","","active"
"0908300000","Zamboanga Sibugay","0900000000","","active"