code,name,short_name,island_group,status
"1300000000","National Capital Region (NCR)","13","","active"
"1400000000","Cordillera Administrative Region (CAR)","14","","active"
"0100000000","Region I (Ilocos Region)","01","","active"
"0200000000","Region II (Cagayan Valley)","02","","active"
"0300000000","Region III (Central Luzon)","03","","active"
"0400000000","Region IV-A (CALABARZON)","04","","active"
"1700000000","MIMAROPA Region","17","","active"
"0500000000","Region V (Bicol Region)","05","","active"
"0600000000","Region VI (Western Visayas)","06","","active"
"1800000000","Negros Island Region (NIR)","18","","active"
"0700000000","Region VII (Central Visayas)","07","","active"
"0800000000","Region VIII (Eastern Visayas)","08","","active"
"0900000000","Region IX (Zamboanga Peninsula)","09","","active"
"1000000000","Region X (Northern Mindanao)","10","","active"
"1100000000","Region XI (Davao Region)","11","","active"
"1200000000","Region XII (SOCCSKSARGEN)","12","","active"
"1600000000","Region XIII (Caraga)","16","","active"
"1900000000","Bangsamoro Autonomous Region In Muslim Mindanao (BARMM)","19","","active"